fid,name,category,region,province,comuna,comuna_code,address,rut,longitude,latitude,source
300,Julio Manzamaros Y Otros,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Venezuela,,-71.6463888929999,-33.0497220269999,RETC_Valparaiso
301,Juan Romero Vilches,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Victoria,,-71.6052778039999,-33.0480554369999,RETC_Valparaiso
302,Juan Olaechea Y Cia. Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Salvador Donoso,,-71.6219443939999,-33.043888723,RETC_Valparaiso
303,Juan Lagomarsino,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Playa Ancha,,-71.6386111639999,-33.024999874,RETC_Valparaiso
304,Juan Carlos,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Estrella De Chile,,-71.6419444519999,-33.0455554209999,RETC_Valparaiso
305,José Zamorano Vergara,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Barros Arana,,-71.5852777859999,-33.0316665329999,RETC_Valparaiso
306,José Vacarezza Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Independencia,,-71.6180555509999,-33.0461109579999,RETC_Valparaiso
307,José M. Albornoz Diaz,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Tocornal,,-71.599444462,-33.0397220519999,RETC_Valparaiso
308,José Cortez Saldia,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Matta,,-71.5755555599999,-33.0480553979999,RETC_Valparaiso
309,José Alvarez Jimenez,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Levarte,,-71.6419444659999,-33.0352776219999,RETC_Valparaiso
310,Jesus Alvarez,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Playa Ancha,,-71.6358333499999,-33.028610914,RETC_Valparaiso
311,"Productos Alimenticios, Piramide",Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6094444219999,-33.0466664919999,RETC_Valparaiso
312,Plasticos Warda,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5213889029999,-33.039444247,RETC_Valparaiso
313,Pinturas Tricolor S.A.,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5208332799999,-33.0402776299999,RETC_Valparaiso
314,Peter Espinoza Fernandez,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Cajilla,,-71.6319444089999,-33.0358331759999,RETC_Valparaiso
315,Perez Y Perez Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,General Mitre,,-71.5961110959999,-33.0430554,RETC_Valparaiso
316,Pedro Rojas Escobar,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Clave,,-71.6300000529999,-33.0361109749999,RETC_Valparaiso
317,Pasalacua Solari Y Cia.,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5047222169999,-33.0497220799999,RETC_Valparaiso
318,Paola Vásquez Saavedra,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Psje. Lientur,,-71.6411111019999,-33.0286109579999,RETC_Valparaiso
319,Panificadora San Lorenzo Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Bustamante,,-71.6297222219999,-33.0352775839999,RETC_Valparaiso
320,Panificadora Puropan Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Uruguay,,-71.6072221919999,-33.0461109539999,RETC_Valparaiso
321,Panificadora Progreso Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Uruguay,,-71.6072221919999,-33.0461109539999,RETC_Valparaiso
322,Panificadora Juan Lorenzo Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Bustamante,,-71.6297222219999,-33.0352775839999,RETC_Valparaiso
323,Panificadora Daveri Rivero Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Cochrane,,-71.6294444289999,-33.0349998749999,RETC_Valparaiso
324,Panificadora Avda. Francia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Francia,,-71.612222201,-33.0497220699999,RETC_Valparaiso
325,Panificadora Andina Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Independencia,,-71.6158333689999,-33.0469442909999,RETC_Valparaiso
326,Panadería Punto Pan,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Francia,,-71.6119444539999,-33.0483331309999,RETC_Valparaiso
327,Pablo Floridor Gaete Vanni,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Hector Calvo,,-71.621388856,-33.0480553699999,RETC_Valparaiso
328,Oroz Hnos Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Las Heras,,-71.6166666959999,-33.0472220929999,RETC_Valparaiso
329,Oberenak Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Hontaneda,,-71.6069444219999,-33.0513887089999,RETC_Valparaiso
330,Nibaldo Alegre González,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,José María Caro,,-71.6519443999999,-33.0397220249999,RETC_Valparaiso
331,Monaldi Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Uruguay,,-71.6074999689999,-33.0491665159999,RETC_Valparaiso
332,Soc. Panificadora Progreso Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6144444699999,-33.0461109099999,RETC_Valparaiso
333,Soc. Menmedo Hnos.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Los Boldos,,-71.5819444949999,-33.0358331829999,RETC_Valparaiso
334,Soc. Industria De Masas Artesanales,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Serrano,,-71.6288888599999,-33.037222062,RETC_Valparaiso
335,Sinclain Y Cia,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pacífico,,-71.6422221889999,-33.0305554329999,RETC_Valparaiso
336,Sergio Segovia,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Colon,,-71.6108333569999,-33.0491665359999,RETC_Valparaiso
337,Sergio Leal Vega,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Mexico,,-71.6461111119999,-33.0386109889999,RETC_Valparaiso
338,Santiago Schappacasse Fenetti,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Chaparro,,-71.6347221789999,-33.0419442709999,RETC_Valparaiso
339,Santa Isabel S.A.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6166667069999,-33.045833195,RETC_Valparaiso
340,Rodriguez Galdamez,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Matta,,-71.589444468,-33.0397220349999,RETC_Valparaiso
341,Ricardo González Espinoza,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Pelle,,-71.5894444859999,-33.0322220579999,RETC_Valparaiso
342,Renzo Vaccarezza Barbagelata,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Yerbas Buenas,,-71.6227777839999,-33.0461109709999,RETC_Valparaiso
343,Raúl Rodriguez Maule,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,21 De Mayo,,-71.5777777519999,-33.0397220529999,RETC_Valparaiso
344,Ranulfo Gargari Iglesias,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Almte. Montt,,-71.6272221899999,-33.0427776019999,RETC_Valparaiso
345,Ramón Toro Silva,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Yungay,,-71.6086110949999,-33.0447220319999,RETC_Valparaiso
